Index,Experiment,Replicate,Position,Trap,CellType
387,VIP_Cd,EXP3,xy10,trap2,VIP
388,VIP_Cd,EXP3,xy10,trap3,CFP
389,VIP_Cd,EXP3,xy10,trap4,VIP
390,VIP_Cd,EXP3,xy10,trap5,CFP
391,VIP_Cd,EXP3,xy10,trap6,VIP
392,VIP_Cd,EXP3,xy10,trap7,VIP
393,VIP_Cd,EXP3,xy10,trap8,VIP
394,VIP_Cd,EXP3,xy10,trap9,VIP
395,VIP_Cd,EXP3,xy10,trap10,VIP
396,VIP_Cd,EXP3,xy10,trap11,CFP
397,VIP_Cd,EXP3,xy10,trap12,VIP
398,VIP_Cd,EXP3,xy10,trap13,VIP
399,VIP_Cd,EXP3,xy11,trap1,VIP
400,VIP_Cd,EXP3,xy11,trap2,VIP
401,VIP_Cd,EXP3,xy11,trap3,VIP
402,VIP_Cd,EXP3,xy11,trap4,VIP
403,VIP_Cd,EXP3,xy11,trap5,CFP
404,VIP_Cd,EXP3,xy11,trap6,VIP
405,VIP_Cd,EXP3,xy11,trap7,VIP
406,VIP_Cd,EXP3,xy11,trap8,VIP
407,VIP_Cd,EXP3,xy11,trap9,VIP
408,VIP_Cd,EXP3,xy11,trap10,VIP
409,VIP_Cd,EXP3,xy11,trap11,VIP
410,VIP_Cd,EXP3,xy11,trap12,CFP
411,VIP_Cd,EXP3,xy11,trap13,VIP
412,VIP_Cd,EXP3,xy13,trap1,CFP
413,VIP_Cd,EXP3,xy13,trap2,CFP
414,VIP_Cd,EXP3,xy13,trap3,CFP
415,VIP_Cd,EXP3,xy13,trap4,VIP
416,VIP_Cd,EXP3,xy13,trap5,VIP
417,VIP_Cd,EXP3,xy13,trap6,VIP
418,VIP_Cd,EXP3,xy13,trap7,VIP
419,VIP_Cd,EXP3,xy13,trap8,VIP
420,VIP_Cd,EXP3,xy13,trap9,CFP
421,VIP_Cd,EXP3,xy13,trap10,VIP
422,VIP_Cd,EXP3,xy13,trap11,VIP
423,VIP_Cd,EXP3,xy13,trap12,VIP
424,VIP_Cd,EXP3,xy14,trap1,VIP
425,VIP_Cd,EXP3,xy14,trap2,VIP
426,VIP_Cd,EXP3,xy14,trap3,CFP
427,VIP_Cd,EXP3,xy14,trap4,VIP
428,VIP_Cd,EXP3,xy14,trap5,VIP
429,VIP_Cd,EXP3,xy14,trap6,VIP
430,VIP_Cd,EXP3,xy14,trap7,VIP
431,VIP_Cd,EXP3,xy14,trap8,VIP
432,VIP_Cd,EXP3,xy14,trap9,VIP
433,VIP_Cd,EXP3,xy14,trap10,CFP
434,VIP_Cd,EXP3,xy15,trap1,CFP
