time,replicate,stress,dose,units,strain,OD_value
2.333333333,rep2,Cd,0,mM,MC1061,0.397
2.333333333,rep3,Cd,0,mM,MC1061,0.292
2.666666667,rep1,Cd,0,mM,MC1061,0.487
2.666666667,rep2,Cd,0,mM,MC1061,0.516
2.666666667,rep3,Cd,0,mM,MC1061,0.445
3,rep1,Cd,0,mM,MC1061,0.588
3,rep2,Cd,0,mM,MC1061,0.596
3,rep3,Cd,0,mM,MC1061,0.539
3.333333333,rep1,Cd,0,mM,MC1061,0.625
3.333333333,rep2,Cd,0,mM,MC1061,0.621
3.333333333,rep3,Cd,0,mM,MC1061,0.597
3.666666667,rep1,Cd,0,mM,MC1061,0.634
3.666666667,rep2,Cd,0,mM,MC1061,0.637
3.666666667,rep3,Cd,0,mM,MC1061,0.63
4,rep1,Cd,0,mM,MC1061,0.647
4,rep2,Cd,0,mM,MC1061,0.649
4,rep3,Cd,0,mM,MC1061,0.67
4.333333333,rep1,Cd,0,mM,MC1061,0.597
4.333333333,rep2,Cd,0,mM,MC1061,0.504
4.333333333,rep3,Cd,0,mM,MC1061,0.53
4.666666667,rep1,Cd,0,mM,MC1061,0.553
4.666666667,rep2,Cd,0,mM,MC1061,0.575
4.666666667,rep3,Cd,0,mM,MC1061,0.594
5,rep1,Cd,0,mM,MC1061,0.593
5,rep2,Cd,0,mM,MC1061,0.595
5,rep3,Cd,0,mM,MC1061,0.615
5.333333333,rep1,Cd,0,mM,MC1061,0.608
5.333333333,rep2,Cd,0,mM,MC1061,0.599
5.333333333,rep3,Cd,0,mM,MC1061,0.617
5.666666667,rep1,Cd,0,mM,MC1061,0.613
5.666666667,rep2,Cd,0,mM,MC1061,0.602
5.666666667,rep3,Cd,0,mM,MC1061,0.617
6,rep1,Cd,0,mM,MC1061,0.612
6,rep2,Cd,0,mM,MC1061,0.601
6,rep3,Cd,0,mM,MC1061,0.619
6.333333333,rep1,Cd,0,mM,MC1061,0.613
6.333333333,rep2,Cd,0,mM,MC1061,0.603
6.333333333,rep3,Cd,0,mM,MC1061,0.614
6.666666667,rep1,Cd,0,mM,MC1061,0.609
6.666666667,rep2,Cd,0,mM,MC1061,0.594
6.666666667,rep3,Cd,0,mM,MC1061,0.615
7,rep1,Cd,0,mM,MC1061,0.608
7,rep2,Cd,0,mM,MC1061,0.597
7,rep3,Cd,0,mM,MC1061,0.613
7.333333333,rep1,Cd,0,mM,MC1061,0.611
7.333333333,rep2,Cd,0,mM,MC1061,0.599
7.333333333,rep3,Cd,0,mM,MC1061,0.617
7.666666667,rep1,Cd,0,mM,MC1061,0.614
