"SSC-A","label"
120237.796875,"AMP"
160489.296875,"AMP"
10153.599609375,"AMP"
209818.703125,"AMP"
90970.3984375,"AMP"
11965.7998046875,"AMP"
105067.796875,"AMP"
156196.09375,"AMP"
87212,"AMP"
78839.8984375,"AMP"
119948.5,"AMP"
136689.90625,"AMP"
81961.703125,"AMP"
100251.6015625,"AMP"
94982.5,"AMP"
105198.1015625,"AMP"
114757.796875,"AMP"
109133.6015625,"AMP"
95494.703125,"AMP"
73323.703125,"AMP"
70604.3984375,"AMP"
43757.5,"AMP"
125442.3984375,"AMP"
115295.6015625,"AMP"
75486.296875,"AMP"
124543.796875,"AMP"
61082,"AMP"
95386.1015625,"AMP"
8425.400390625,"AMP"
97530.703125,"AMP"
59761.6015625,"AMP"
89081.5,"AMP"
94476.3984375,"AMP"
76773.203125,"AMP"
92795.6015625,"AMP"
95780.203125,"AMP"
91289,"AMP"
81218.703125,"AMP"
87750,"AMP"
322199.40625,"AMP"
62082.6015625,"AMP"
124828.5,"AMP"
31146.80078125,"AMP"
98872.203125,"AMP"
97684,"AMP"
131610.40625,"AMP"
132006.59375,"AMP"
84707.296875,"AMP"
27442,"AMP"
95227.203125,"AMP"
66552.3984375,"AMP"
82338.3984375,"AMP"
106627.5,"AMP"
83868.3984375,"AMP"
60200.3984375,"AMP"
119688,"AMP"
148314.5,"AMP"
102597.3984375,"AMP"
103605.8984375,"AMP"
18583.19921875,"AMP"
103179.5,"AMP"
51004.30078125,"AMP"
111563.5,"AMP"
126898.1015625,"AMP"
88520.3984375,"AMP"
72188.296875,"AMP"
104194.796875,"AMP"
28605.599609375,"AMP"
102712.703125,"AMP"
45797.3984375,"AMP"
123229.796875,"AMP"
133474.796875,"AMP"
98134.6015625,"AMP"
68760.5,"AMP"
32952.3984375,"AMP"
133738,"AMP"
63118.3984375,"AMP"
123794.703125,"AMP"
111491.6015625,"AMP"
39013,"AMP"
94086.1015625,"AMP"
115613.796875,"AMP"
91955.6015625,"AMP"
110681.203125,"AMP"
85871.703125,"AMP"
15429.7001953125,"AMP"
117815.5,"AMP"
50305.69921875,"AMP"
83494.5,"AMP"
73942.8984375,"AMP"
64858.6015625,"AMP"
109327.5,"AMP"
111137.796875,"AMP"
90002.203125,"AMP"
118420,"AMP"
126043.3984375,"AMP"
115933.1015625,"AMP"
112175.796875,"AMP"
140377,"AMP"
108255.703125,"AMP"
74557.3984375,"AMP"
140008.40625,"AMP"
210688,"AMP"
122379.8984375,"AMP"
110857.8984375,"AMP"
20603,"AMP"
89776.5,"AMP"
74218.8984375,"AMP"
122122.3984375,"AMP"
128313.203125,"AMP"
10773.5,"AMP"
79980.296875,"AMP"
108794.5,"AMP"
128791.1015625,"AMP"
157876.40625,"AMP"
210573.296875,"AMP"
59207.30078125,"AMP"
103760.1015625,"AMP"
116847.703125,"AMP"
97799.3984375,"AMP"
104227.296875,"AMP"
101176.796875,"AMP"
127204.6015625,"AMP"
102423.5,"AMP"
151934.90625,"AMP"
31428,"AMP"
120196.3984375,"AMP"
136339.703125,"AMP"
49921.6015625,"AMP"
108528.5,"AMP"
90466.1015625,"AMP"
97476.796875,"AMP"
129987.703125,"AMP"
64569.5,"AMP"
93620.703125,"AMP"
119333,"AMP"
68238.3984375,"AMP"
112340.1015625,"AMP"
84400,"AMP"
25655.30078125,"AMP"
110874.203125,"AMP"
111211,"AMP"
85489.3984375,"AMP"
87912.1015625,"AMP"
109469.796875,"AMP"
118519,"AMP"
97483.703125,"AMP"
110724.3984375,"AMP"
90901.8984375,"AMP"
99549,"AMP"
81450.3984375,"AMP"
91682.3984375,"AMP"
103186.5,"AMP"
124545,"AMP"
150104.40625,"AMP"
97513.8984375,"AMP"
62637.19921875,"AMP"
96956,"AMP"
98090.296875,"AMP"
65848.5,"AMP"
23682.599609375,"AMP"
99525.3984375,"AMP"
86947.296875,"AMP"
94501.296875,"AMP"
108190.6015625,"AMP"
97690.203125,"AMP"
105871.3984375,"AMP"
79188.796875,"AMP"
35201.30078125,"AMP"
108458.6015625,"AMP"
12548,"AMP"
99399.3984375,"AMP"
120348,"AMP"
70315.3984375,"AMP"
10232.7001953125,"AMP"
108317.6015625,"AMP"
93170,"AMP"
55194.1015625,"AMP"
87658.796875,"AMP"
70568.1015625,"AMP"
106964.203125,"AMP"
31598.19921875,"AMP"
115578.8984375,"AMP"
167876.5,"AMP"
90541.203125,"AMP"
99881,"AMP"
15682.7001953125,"AMP"
66820,"AMP"
58708.3984375,"AMP"
100921.1015625,"AMP"
140711.5,"AMP"
92177.796875,"AMP"
88409.703125,"AMP"
79847.5,"AMP"
135739.40625,"AMP"
66538.1015625,"AMP"
128904.296875,"AMP"
133265.5,"AMP"
134788.703125,"AMP"
47548.3984375,"AMP"
121117.8984375,"AMP"
86913,"AMP"
128634.8984375,"AMP"
66624.8984375,"AMP"
59464,"AMP"
129689.5,"AMP"
35847.3984375,"AMP"
151075.40625,"AMP"
69063.703125,"AMP"
97750.5,"AMP"
437685.8125,"AMP"
104560.5,"AMP"
101286.703125,"AMP"
132406,"AMP"
108323.703125,"AMP"
130466,"AMP"
141336.90625,"AMP"
112142.6015625,"AMP"
185529.5,"AMP"
101557.296875,"AMP"
79062.203125,"AMP"
89764,"AMP"
157486.40625,"AMP"
168446.59375,"AMP"
104019.796875,"AMP"
110604.5,"AMP"
10524.7001953125,"AMP"
119648.3984375,"AMP"
134594.40625,"AMP"
14757.5,"AMP"
85189.8984375,"AMP"
142522.40625,"AMP"
135610,"AMP"
107832,"AMP"
78582.3984375,"AMP"
171256.90625,"AMP"
55321.19921875,"AMP"
25062,"AMP"
116715.796875,"AMP"
46323,"AMP"
77423.6015625,"AMP"
60151.3984375,"AMP"
74539.296875,"AMP"
99613.296875,"AMP"
129312.6015625,"AMP"
142912.703125,"AMP"
30140.400390625,"AMP"
123472.296875,"AMP"
78408.296875,"AMP"
129451.1015625,"AMP"
129808,"AMP"
9966.900390625,"AMP"
81259.5,"AMP"
80542.8984375,"AMP"
123111.703125,"AMP"
70840.6015625,"AMP"
98516,"AMP"
96162.1015625,"AMP"
82297.796875,"AMP"
108614.1015625,"AMP"
138925.703125,"AMP"
54248.69921875,"AMP"
102548.8984375,"AMP"
165234.5,"AMP"
71865.8984375,"AMP"
297540.09375,"AMP"
130661.296875,"AMP"
20590.30078125,"AMP"
207388.5,"AMP"
147557.09375,"AMP"
121745.8984375,"AMP"
110354.203125,"AMP"
144229.59375,"AMP"
110030.5,"AMP"
61768.3984375,"AMP"
79095.203125,"AMP"
71537.6015625,"AMP"
142646.59375,"AMP"
92399.296875,"AMP"
56848.8984375,"AMP"
64602,"AMP"
38863,"AMP"
9950.2998046875,"AMP"
101122.203125,"AMP"
116551.3984375,"AMP"
97888.796875,"AMP"
128235.703125,"AMP"
136179,"AMP"
145518.59375,"AMP"
74881.6015625,"AMP"
103731.1015625,"AMP"
94488.203125,"AMP"
138751.40625,"AMP"
149390.296875,"AMP"
45097.1015625,"AMP"
115198.703125,"AMP"
101725.5,"AMP"
41372.19921875,"AMP"
150527.40625,"AMP"
98204.8984375,"AMP"
89412.703125,"AMP"
