propidium_iodide,cell_length,time,state,PI_classification,experiment
-0.7784378029,1925.271851,120,VIP205,alive,exp1
-0.0890120544,1177.467285,120,VIP205,alive,exp1
-0.4308881671,1086.237549,120,VIP205,alive,exp1
-0.3155196769,1464.759521,120,VIP205,alive,exp1
0.5973259886,2494.74585,120,VIP205,dead,exp1
-0.2625255882,1040.304688,120,VIP205,alive,exp1
-0.9333139171,1140.067017,120,VIP205,alive,exp1
-1.32378282,2084.390625,120,VIP205,alive,exp1
0.1097033602,1572.119263,120,VIP205,dead,exp1
-0.874629601,1611.190308,120,VIP205,alive,exp1
-0.06211306877,2041.231323,120,VIP205,alive,exp1
-0.3877239604,1107.479614,120,VIP205,alive,exp1
-1.456784423,952.4677734,120,VIP205,alive,exp1
-0.113131685,2197.124023,120,VIP205,alive,exp1
-0.3044437323,1024.261597,120,VIP205,alive,exp1
-0.3919992152,965.5710449,120,VIP205,alive,exp1
-1.088991198,1195.342041,120,VIP205,alive,exp1
-0.1457229486,1733.768921,120,VIP205,alive,exp1
-0.6773182678,1752.675537,120,VIP205,alive,exp1
-0.3964898439,1430.445557,120,VIP205,alive,exp1
-0.4495115139,1008.359192,120,VIP205,alive,exp1
-0.5389467884,1298.614868,120,VIP205,alive,exp1
0.2910497407,1492.081055,120,VIP205,dead,exp1
-0.7813543754,1538.24353,120,VIP205,alive,exp1
-1.519160941,2333.967529,120,VIP205,alive,exp1
-0.6488732567,1055.536255,120,VIP205,alive,exp1
-1.288899311,1208.313721,120,VIP205,alive,exp1
-0.2325639049,1700.31958,120,VIP205,alive,exp1
-2.066799312,912.4901123,120,VIP205,alive,exp1
0.5128606791,1120.711792,120,VIP205,dead,exp1
-0.1127009124,1228.898804,120,VIP205,alive,exp1
-0.4098051596,981.1013184,120,VIP205,alive,exp1
-0.2678848467,1159.795654,120,VIP205,alive,exp1
-0.644837014,1559.610962,120,VIP205,alive,exp1
-0.5200443934,1024.309814,120,VIP205,alive,exp1
-0.5344208395,1727.643555,120,VIP205,alive,exp1
-0.05116812737,1026.81543,120,VIP205,alive,exp1
-1.142578758,1163.040039,120,VIP205,alive,exp1
-0.2132870995,1176.472046,120,VIP205,alive,exp1
-0.7040983574,1732.993652,120,VIP205,alive,exp1
-0.1212114459,1162.219727,120,VIP205,alive,exp1
0.01378422935,1879.441895,120,VIP205,dead,exp1
-1.556910342,1000.939941,120,VIP205,alive,exp1
-0.4799811147,1740.150391,120,VIP205,alive,exp1
0.0772963677,1922.513306,120,VIP205,dead,exp1
-0.1806441012,999.5797119,120,VIP205,alive,exp1
-0.9376997273,1316.593994,120,VIP205,alive,exp1
-2.065574489,2436.223145,120,VIP205,alive,exp1
-0.1889723391,973.8716431,120,VIP205,alive,exp1
-0.5710418925,1691.033691,120,VIP205,alive,exp1
-1.804416483,952.6040039,120,VIP205,alive,exp1
-0.3402049095,1069.221558,120,VIP205,alive,exp1
-0.8742887497,1149.024292,120,VIP205,alive,exp1
-0.3021244903,938.3257446,120,VIP205,alive,exp1
-0.5165588046,996.9494629,120,VIP205,alive,exp1
-0.3599949091,1037.872314,120,VIP205,alive,exp1
-0.4828037384,1271.710205,120,VIP205,alive,exp1
0.2858840353,1935.457886,120,VIP205,dead,exp1
-0.1354845147,966.4874878,120,VIP205,alive,exp1
-1.959556793,874.1818237,120,VIP205,alive,exp1
-0.2507461953,1058.677368,120,VIP205,alive,exp1
0.2828761345,1119.757446,120,VIP205,dead,exp1
0.006201625506,1096.506836,120,VIP205,dead,exp1
-1.726846825,2032.089111,120,VIP205,alive,exp1
-0.3803105949,1974.233154,120,VIP205,alive,exp1
-0.2980277686,1053.275635,120,VIP205,alive,exp1
-0.236360216,1253.016357,120,VIP205,alive,exp1
-1.717826043,1101.605713,120,VIP205,alive,exp1
-0.5068366743,1140.442993,120,VIP205,alive,exp1
-0.2591824081,1214.169312,120,VIP205,alive,exp1
-0.176163572,1141.864136,120,VIP205,alive,exp1
0.4362984419,1769.620239,120,VIP205,dead,exp1
-0.371730179,966.5238647,120,VIP205,alive,exp1
-0.9629991769,945.2747192,120,VIP205,alive,exp1
-0.3112699207,909.37677,120,VIP205,alive,exp1
-0.167843186,1033.078369,120,VIP205,alive,exp1
-0.7005174623,1871.456421,120,VIP205,alive,exp1
0.005116033656,1434.925537,120,VIP205,dead,exp1
-0.686902209,877.9229126,120,VIP205,alive,exp1
-1.398934952,962.9034424,120,VIP205,alive,exp1
-0.3709097956,1502.22876,120,VIP205,alive,exp1
-0.2746629364,906.5802002,120,VIP205,alive,exp1
-0.0687676743,1179.447266,120,VIP205,alive,exp1
-0.994197502,1486.54541,120,VIP205,alive,exp1
-0.4564485055,1545.665894,120,VIP205,alive,exp1
-1.36198418,952.5090332,120,VIP205,alive,exp1
-0.03100923562,1359.988403,120,VIP205,alive,exp1
-0.8564752727,957.2710571,120,VIP205,alive,exp1
-0.03653209083,887.3392944,120,VIP205,alive,exp1
-0.1857784381,1093.60083,120,VIP205,alive,exp1
-2.152903424,964.2666626,120,VIP205,alive,exp1
-0.6427373279,1071.780396,120,VIP205,alive,exp1
-0.2028661689,1060.664673,120,VIP205,alive,exp1
-1.681261588,1027.344116,120,VIP205,alive,exp1
-0.7460977782,968.8687744,120,VIP205,alive,exp1
0.4469859894,1171.037354,120,VIP205,dead,exp1
-0.3237499769,1150.926514,120,VIP205,alive,exp1
-1.137119541,1130.849976,120,VIP205,alive,exp1
-0.3132073974,1058.164307,120,VIP205,alive,exp1
0.0633224638,1136.736328,120,VIP205,dead,exp1
-0.3202284056,1318.773926,120,VIP205,alive,exp1
-0.8441693511,1812.235596,120,VIP205,alive,exp1
0.5089600654,2091.381836,120,VIP205,dead,exp1
-0.5934847848,1393.49585,120,VIP205,alive,exp1
0.06682644823,2098.913574,120,VIP205,dead,exp1
-0.1987277379,997.756897,120,VIP205,alive,exp1
-0.07697305819,1415.177368,120,VIP205,alive,exp1
-0.04946745783,1360.464478,120,VIP205,alive,exp1
-0.7035742815,1084.380615,120,VIP205,alive,exp1
0.04126847621,1490.160645,120,VIP205,dead,exp1
-0.2035441374,1886.528931,120,VIP205,alive,exp1
0.002418056932,3062.880859,120,VIP205,dead,exp1
0.1898065114,1505.005981,120,VIP205,dead,exp1
-1.506585224,1714.456543,120,VIP205,alive,exp1
-1.35319202,1083.528198,120,VIP205,alive,exp1
-0.4003903509,1039.086182,120,VIP205,alive,exp1
0.5396383783,1750.890259,120,VIP205,dead,exp1
-0.5100020992,977.9856567,120,VIP205,alive,exp1
-0.7933581867,956.6289673,120,VIP205,alive,exp1
-0.4503412793,971.3436279,120,VIP205,alive,exp1
-0.6257718523,1672.39856,120,VIP205,alive,exp1
-0.3924380365,1808.680542,120,VIP205,alive,exp1
-0.3096228991,1340.60022,120,VIP205,alive,exp1
-0.2261144858,1060.800049,120,VIP205,alive,exp1
-0.2219283736,1106.056152,120,VIP205,alive,exp1
-0.5024200473,1277.579224,120,VIP205,alive,exp1
-0.1060745906,958.9795532,120,VIP205,alive,exp1
-0.4090867159,1396.060669,120,VIP205,alive,exp1
-0.3465476323,1166.779907,120,VIP205,alive,exp1
0.07224433049,1795.56665,120,VIP205,dead,exp1
-1.114528292,1165.653931,120,VIP205,alive,exp1
-1.141274511,3205.812012,120,VIP205,alive,exp1
-0.1041550202,1146.652588,120,VIP205,alive,exp1
0.006654767099,958.0200195,120,VIP205,dead,exp1
-0.413709732,1679.835083,120,VIP205,alive,exp1
-0.3344442106,895.0497437,120,VIP205,alive,exp1
0.2312432612,1128.921509,120,VIP205,dead,exp1
-0.2755410265,1240.776733,120,VIP205,alive,exp1
-0.1778883571,956.1212158,120,VIP205,alive,exp1
-0.5688860076,1044.900757,120,VIP205,alive,exp1
0.2193306026,1407.331665,120,VIP205,dead,exp1
-0.1557888187,1118.364258,120,VIP205,alive,exp1
-0.9533476334,1786.181763,120,VIP205,alive,exp1
-1.363552228,4672.810547,120,VIP205,alive,exp1
-1.004349966,1334.328125,120,VIP205,alive,exp1
-0.9692356752,960.5585327,120,VIP205,alive,exp1
-0.6724214457,1033.213867,120,VIP205,alive,exp1
-0.6185847295,1111.705322,120,VIP205,alive,exp1
-1.327684662,945.9091797,120,VIP205,alive,exp1
0.6320025676,1359.045776,120,VIP205,dead,exp1
-0.5613603322,958.4700928,120,VIP205,alive,exp1
0.1183989869,1137.193726,120,VIP205,dead,exp1
-0.246226231,1145.1073,120,VIP205,alive,exp1
0.06092693359,960.9963989,120,VIP205,dead,exp1
-0.2619706122,1284.807861,120,VIP205,alive,exp1
-0.1616904932,1136.290649,120,VIP205,alive,exp1
0.1826016296,1098.579468,120,VIP205,dead,exp1
-2.311128238,3955.717529,120,VIP205,alive,exp1
-0.7596213988,998.1450195,120,VIP205,alive,exp1
-0.09997428518,1034.254272,120,VIP205,alive,exp1
-0.6678301504,1032.298706,120,VIP205,alive,exp1
-2.577304935,966.8858643,120,VIP205,alive,exp1
-0.1870991679,1037.389893,120,VIP205,alive,exp1
-1.94788447,856.4099731,120,VIP205,alive,exp1
0.2004403192,1818.473022,120,VIP205,dead,exp1
-0.9936835054,1014.319641,120,VIP205,alive,exp1
-1.543722392,1300.439575,120,VIP205,alive,exp1
-0.4359405846,1611.513794,120,VIP205,alive,exp1
-1.000432105,1385.307617,120,VIP205,alive,exp1
-0.5783366284,1192.617065,120,VIP205,alive,exp1
-1.454216118,2269.786133,120,VIP205,alive,exp1
-0.1759707891,1182.586914,120,VIP205,alive,exp1
-1.380763523,2423.672119,120,VIP205,alive,exp1
-2.363600252,2620.162354,120,VIP205,alive,exp1
-0.31217162,1561.976196,120,VIP205,alive,exp1
-0.4808963594,1758.4198,120,VIP205,alive,exp1
-0.4596718796,1196.237183,120,VIP205,alive,exp1
-0.1572234478,1046.918457,120,VIP205,alive,exp1
-0.7034557791,1410.670654,120,VIP205,alive,exp1
0.1023533402,1520.825684,120,VIP205,dead,exp1
0.1830006125,1225.628418,120,VIP205,dead,exp1
-0.3353137179,1074.665283,120,VIP205,alive,exp1
-0.9219237533,1098.708618,120,VIP205,alive,exp1
0.01477960069,1382.449707,120,VIP205,dead,exp1
0.2071943074,972.6211548,120,VIP205,dead,exp1
-0.01888526749,1251.962769,120,VIP205,alive,exp1
-0.5189579801,2214.748291,120,VIP205,alive,exp1
-0.2581061811,1261.046265,120,VIP205,alive,exp1
-0.3531612195,925.7764282,120,VIP205,alive,exp1
-0.5617357552,1270.365112,120,VIP205,alive,exp1
-0.9746619077,1135.462891,120,VIP205,alive,exp1
-0.3665389934,1130.293823,120,VIP205,alive,exp1
-1.000132565,1447.261719,120,VIP205,alive,exp1
0.3859150229,1671.498901,120,VIP205,dead,exp1
-0.767592255,2206.455078,120,VIP205,alive,exp1
-1.573525113,2048.823242,120,VIP205,alive,exp1
-1.055125226,4210.083496,120,VIP205,alive,exp1
-0.4315426456,1943.60437,120,VIP205,alive,exp1
-3.241721336,2617.053467,120,VIP205,alive,exp1
-0.1669223594,1022.774414,120,VIP205,alive,exp1
